,id,time,text,city_name,coordinates,place
22429,1423796062821748736,2021-08-07 00:00:08+00:00,"Um, can we talk about the Spanish team’s technical #ArtisticSwimming routine which mixed the beats of Japanese drum… https://t.co/jYPRDf58ML","Manhattan, NY","[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='01a9a39529b27f36', url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', place_type='city', name='Manhattan', full_name='Manhattan, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]), attributes={})"
32544,1423796299313336326,2021-08-07 00:01:05+00:00,MOLLY SEIDEL!!! https://t.co/AtxYZ4Pasx,"Manhattan, NY","[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='01a9a39529b27f36', url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', place_type='city', name='Manhattan', full_name='Manhattan, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]), attributes={})"
32650,1423796481295720449,2021-08-07 00:01:48+00:00,Was too excited / stressed / in it to check Twitter during the race but DEAR LORD - watching @ByGollyMolly12 bring… https://t.co/bXHWyVkmTm,"Flagstaff, AZ","[[[-111.710027, 35.122005], [-111.560272, 35.122005], [-111.560272, 35.243495], [-111.710027, 35.243495]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='fdbee5cdec8043ac', url='https://api.twitter.com/1.1/geo/id/fdbee5cdec8043ac.json', place_type='city', name='Flagstaff', full_name='Flagstaff, AZ', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-111.710027, 35.122005], [-111.560272, 35.122005], [-111.560272, 35.243495], [-111.710027, 35.243495]]]), attributes={})"
32671,1423796602590875648,2021-08-07 00:02:17+00:00,Can't believe I went to school with this absolute legend in fifth and sixth grade https://t.co/ZpQxFu1RaO,"Milwaukee, WI","[[[-88.070827, 42.920822], [-87.863758, 42.920822], [-87.863758, 43.1926225], [-88.070827, 43.1926225]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='2a93711775303f90', url='https://api.twitter.com/1.1/geo/id/2a93711775303f90.json', place_type='city', name='Milwaukee', full_name='Milwaukee, WI', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-88.070827, 42.920822], [-87.863758, 42.920822], [-87.863758, 43.1926225], [-88.070827, 43.1926225]]]), attributes={})"
22428,1423796690641952771,2021-08-07 00:02:38+00:00,"KingJames &amp; his sister Jamesetta strongly cheering for Team USA🇺🇸🇺🇸 @ the Tokyo Olympics @ Altoona, Iowa https://t.co/oqaJu0qHxD","Altoona, IA","[[[-93.5193714, 41.618766], [-93.4433177, 41.618766], [-93.4433177, 41.6718048], [-93.5193714, 41.6718048]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='008d14b32ddf2fb6', url='https://api.twitter.com/1.1/geo/id/008d14b32ddf2fb6.json', place_type='city', name='Altoona', full_name='Altoona, IA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-93.5193714, 41.618766], [-93.4433177, 41.618766], [-93.4433177, 41.6718048], [-93.5193714, 41.6718048]]]), attributes={})"
32562,1423796791305129985,2021-08-07 00:03:02+00:00,Yassssss so excited for Molly! https://t.co/pzMxeEXoxu,"Mesa, AZ","[[[-111.894548, 33.306275], [-111.5805834, 33.306275], [-111.5805834, 33.505234], [-111.894548, 33.505234]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='44d207663001f00b', url='https://api.twitter.com/1.1/geo/id/44d207663001f00b.json', place_type='city', name='Mesa', full_name='Mesa, AZ', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-111.894548, 33.306275], [-111.5805834, 33.306275], [-111.5805834, 33.505234], [-111.894548, 33.505234]]]), attributes={})"
16792,1423796843201314823,2021-08-07 00:03:14+00:00,"During my first marathon I threw up seven times and finished an hour later than expected. 

In her first marathon,… https://t.co/lho7e92d7y","Austin, TX","[[[-97.928935, 30.127892], [-97.5805133, 30.127892], [-97.5805133, 30.5187994], [-97.928935, 30.5187994]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='c3f37afa9efcf94b', url='https://api.twitter.com/1.1/geo/id/c3f37afa9efcf94b.json', place_type='city', name='Austin', full_name='Austin, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-97.928935, 30.127892], [-97.5805133, 30.127892], [-97.5805133, 30.5187994], [-97.928935, 30.5187994]]]), attributes={})"
22413,1423796885299646471,2021-08-07 00:03:24+00:00,Congratulations https://t.co/l8SDTSZu0G https://t.co/lvDb8Fczt5,"Winston-Salem, NC","[[[-80.389019, 35.9341262], [-80.100949, 35.9341262], [-80.100949, 36.240211], [-80.389019, 36.240211]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='24a53a1880093fa9', url='https://api.twitter.com/1.1/geo/id/24a53a1880093fa9.json', place_type='city', name='Winston-Salem', full_name='Winston-Salem, NC', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-80.389019, 35.9341262], [-80.100949, 35.9341262], [-80.100949, 36.240211], [-80.389019, 36.240211]]]), attributes={})"
31991,1423797103642427396,2021-08-07 00:04:17+00:00,Not enough being said about her achievements. She's amazing. The 400M is more challenging than the shorter sprints.… https://t.co/Um4I3BQPtv,"Bronx, NY","[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='002e24c6736f069d', url='https://api.twitter.com/1.1/geo/id/002e24c6736f069d.json', place_type='city', name='Bronx', full_name='Bronx, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-73.933612, 40.785365], [-73.765271, 40.785365], [-73.765271, 40.91533], [-73.933612, 40.91533]]]), attributes={})"
22430,1423797129995300865,2021-08-07 00:04:23+00:00,Just read about why it is that J'den Cox isn't competing in the Olympics and I am FUMING.,"Delaware, USA","[[[-75.7887564, 38.4510398], [-74.984165, 38.4510398], [-74.984165, 39.839007], [-75.7887564, 39.839007]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='3f5897b87d2bf56c', url='https://api.twitter.com/1.1/geo/id/3f5897b87d2bf56c.json', place_type='admin', name='Delaware', full_name='Delaware, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-75.7887564, 38.4510398], [-74.984165, 38.4510398], [-74.984165, 39.839007], [-75.7887564, 39.839007]]]), attributes={})"
31994,1423797170541563913,2021-08-07 00:04:32+00:00,"@draiche @Justin_McIsaac Eh, it's the Olympics. Once in a lifetime stage for a lot of people. I'm ok with as many w… https://t.co/rNiwmyw6KT","Manchester, NH","[[[-71.5127219, 42.8909187], [-71.3754393, 42.8909187], [-71.3754393, 43.0514794], [-71.5127219, 43.0514794]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='5e6cc87c609e3a59', url='https://api.twitter.com/1.1/geo/id/5e6cc87c609e3a59.json', place_type='city', name='Manchester', full_name='Manchester, NH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-71.5127219, 42.8909187], [-71.3754393, 42.8909187], [-71.3754393, 43.0514794], [-71.5127219, 43.0514794]]]), attributes={})"
22423,1423797384623099905,2021-08-07 00:05:24+00:00,7.3mil just wasted 4 hours off their lives https://t.co/hnJzpQaViM,"Riverside, NJ","[[[-74.972333, 40.024143], [-74.937764, 40.024143], [-74.937764, 40.0439243], [-74.972333, 40.0439243]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='01675aea6b4eda92', url='https://api.twitter.com/1.1/geo/id/01675aea6b4eda92.json', place_type='city', name='Riverside', full_name='Riverside, NJ', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-74.972333, 40.024143], [-74.937764, 40.024143], [-74.937764, 40.0439243], [-74.972333, 40.0439243]]]), attributes={})"
22756,1423797475559813125,2021-08-07 00:05:45+00:00,olympics are still on?!!,"Manhattan, NY","[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='01a9a39529b27f36', url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', place_type='city', name='Manhattan', full_name='Manhattan, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]), attributes={})"
3890,1423797620443582471,2021-08-07 00:06:20+00:00,"Just in case you were wondering!!!
https://t.co/mu02TSZbFc","Georgia, USA","[[[-85.605166, 30.355644], [-80.742567, 30.355644], [-80.742567, 35.000771], [-85.605166, 35.000771]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='7142eb97ae21e839', url='https://api.twitter.com/1.1/geo/id/7142eb97ae21e839.json', place_type='admin', name='Georgia', full_name='Georgia, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-85.605166, 30.355644], [-80.742567, 30.355644], [-80.742567, 35.000771], [-85.605166, 35.000771]]]), attributes={})"
6617,1423797774148009987,2021-08-07 00:06:56+00:00,Congratulations to Indian women’s hockey team for wonderful performance at #TokyoOlympics you have a bright future… https://t.co/ITNvKUurpn,"South San Francisco, CA","[[[-122.471871, 37.6345111], [-122.374366, 37.6345111], [-122.374366, 37.683086], [-122.471871, 37.683086]]]","Place(_api=<tweepy.api.API object at 0x2b235387f970>, id='746cc5651750e057', url='https://api.twitter.com/1.1/geo/id/746cc5651750e057.json', place_type='city', name='South San Francisco', full_name='South San Francisco, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b235387f970>, type='Polygon', coordinates=[[[-122.471871, 37.6345111], [-122.374366, 37.6345111], [-122.374366, 37.683086], [-122.471871, 37.683086]]]), attributes={})"
