id,time,text,city_name,coordinates,place
1419808468324790274,2021-07-26 23:54:52+00:00,b'I hadn\xe2\x80\x99t seen you for awhile\xe2\x80\xa6 I thought you were inJapan\xe2\x80\xa6 with the Corgi Tesm! No? https://t.co/YJQ5gfJMbQ',"Newport, KY","[[[-84.504476, 39.064988], [-84.4611, 39.064988], [-84.4611, 39.1024267], [-84.504476, 39.1024267]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='25e7ede60b304d89', url='https://api.twitter.com/1.1/geo/id/25e7ede60b304d89.json', place_type='city', name='Newport', full_name='Newport, KY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-84.504476, 39.064988], [-84.4611, 39.064988], [-84.4611, 39.1024267], [-84.504476, 39.1024267]]]), attributes={})"
1419343586320019458,2021-07-25 17:07:35+00:00,b'There\xe2\x80\x99s a bad joke here somewhere https://t.co/FuE4gWriam',"Inglewood, CA","[[[-118.378887, 33.9253169], [-118.3134177, 33.9253169], [-118.3134177, 33.9819502], [-118.378887, 33.9819502]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='97e336e1e3ed9e1e', url='https://api.twitter.com/1.1/geo/id/97e336e1e3ed9e1e.json', place_type='city', name='Inglewood', full_name='Inglewood, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-118.378887, 33.9253169], [-118.3134177, 33.9253169], [-118.3134177, 33.9819502], [-118.378887, 33.9819502]]]), attributes={})"
1419372964823408640,2021-07-25 19:04:20+00:00,b'The #Olympics seem to be starting out slowly for Team USA \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',"Central City, KY","[[[-87.154448, 37.269115], [-87.0936138, 37.269115], [-87.0936138, 37.320826], [-87.154448, 37.320826]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='cb4cde5b13a748f0', url='https://api.twitter.com/1.1/geo/id/cb4cde5b13a748f0.json', place_type='city', name='Central City', full_name='Central City, KY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-87.154448, 37.269115], [-87.0936138, 37.269115], [-87.0936138, 37.320826], [-87.154448, 37.320826]]]), attributes={})"
1425093660165738509,2021-08-10 13:56:20+00:00,b'https://t.co/u0G6OPzAav',"Gainesville, VA","[[[-77.675429, 38.763188], [-77.579294, 38.763188], [-77.579294, 38.821247], [-77.675429, 38.821247]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='001468602e90b4c7', url='https://api.twitter.com/1.1/geo/id/001468602e90b4c7.json', place_type='city', name='Gainesville', full_name='Gainesville, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-77.675429, 38.763188], [-77.579294, 38.763188], [-77.579294, 38.821247], [-77.675429, 38.821247]]]), attributes={})"
1419343311375151107,2021-07-25 17:06:30+00:00,b'@SpencerBoyd Olympics/Baseball',"Vicksburg, MI","[[[-85.583959, 42.089785], [-85.509529, 42.089785], [-85.509529, 42.157477], [-85.583959, 42.157477]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='f01b689ce49ad91d', url='https://api.twitter.com/1.1/geo/id/f01b689ce49ad91d.json', place_type='city', name='Vicksburg', full_name='Vicksburg, MI', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-85.583959, 42.089785], [-85.509529, 42.089785], [-85.509529, 42.157477], [-85.583959, 42.157477]]]), attributes={})"
1420021486878867458,2021-07-27 14:01:19+00:00,"b""It's pretty dumb that they have already decided softball won't be at the next Olympics. An actual sport unlike air rifle""","Sandy Springs, GA","[[[-84.4468, 33.876737], [-84.2580892, 33.876737], [-84.2580892, 34.010177], [-84.4468, 34.010177]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='b077585758242faa', url='https://api.twitter.com/1.1/geo/id/b077585758242faa.json', place_type='city', name='Sandy Springs', full_name='Sandy Springs, GA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-84.4468, 33.876737], [-84.2580892, 33.876737], [-84.2580892, 34.010177], [-84.4468, 34.010177]]]), attributes={})"
1418406162085687299,2021-07-23 03:02:36+00:00,b'Anyone else not give two sh.ts about @Olympics @TeamUSA tired of all their fake AF #poser #woke crap and\xe2\x80\xa6 https://t.co/2ejt15W9pw',"New York, USA","[[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='94965b2c45386f87', url='https://api.twitter.com/1.1/geo/id/94965b2c45386f87.json', place_type='admin', name='New York', full_name='New York, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]]), attributes={})"
1419516837851697153,2021-07-26 04:36:02+00:00,b'@Lucyisamazing70 @Olympics @pitaTofua Fine as wine!  Gorgeous!',"Dayton, OH","[[[-84.307688, 39.695193], [-84.093044, 39.695193], [-84.093044, 39.865523], [-84.307688, 39.865523]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='8d742fb555fbff21', url='https://api.twitter.com/1.1/geo/id/8d742fb555fbff21.json', place_type='city', name='Dayton', full_name='Dayton, OH', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-84.307688, 39.695193], [-84.093044, 39.695193], [-84.093044, 39.865523], [-84.307688, 39.865523]]]), attributes={})"
1417469106505330688,2021-07-20 12:59:04+00:00,b'\xf0\x9f\x98\xa2 https://t.co/VUvq7L9cS5',"Virginia, USA","[[[-83.67529, 36.540739], [-75.16644, 36.540739], [-75.16644, 39.466012], [-83.67529, 39.466012]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='5635c19c2b5078d1', url='https://api.twitter.com/1.1/geo/id/5635c19c2b5078d1.json', place_type='admin', name='Virginia', full_name='Virginia, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-83.67529, 36.540739], [-75.16644, 36.540739], [-75.16644, 39.466012], [-83.67529, 39.466012]]]), attributes={})"
1419343276386160641,2021-07-25 17:06:21+00:00,"b'So fascinated by skateboarding at @Tokyo2020 The balance, agility, and fearlessness! Oh, but I wish these friends w\xe2\x80\xa6 https://t.co/rTVRuALRpJ'","Maryland, USA","[[[-79.487651, 37.886607], [-74.986286, 37.886607], [-74.986286, 39.723622], [-79.487651, 39.723622]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='dea1eac2d7ef8878', url='https://api.twitter.com/1.1/geo/id/dea1eac2d7ef8878.json', place_type='admin', name='Maryland', full_name='Maryland, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-79.487651, 37.886607], [-74.986286, 37.886607], [-74.986286, 39.723622], [-79.487651, 39.723622]]]), attributes={})"
1425091191586975744,2021-08-10 13:46:31+00:00,b'Hey my sexy beast. Come to Vegas!! I\xe2\x80\x99ll make it good!! https://t.co/DJAOOYkGuP',"Paradise, NV","[[[-115.2092535, 35.984784], [-115.0610763, 35.984784], [-115.0610763, 36.137145], [-115.2092535, 36.137145]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='8fa6d7a33b83ef26', url='https://api.twitter.com/1.1/geo/id/8fa6d7a33b83ef26.json', place_type='city', name='Paradise', full_name='Paradise, NV', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-115.2092535, 35.984784], [-115.0610763, 35.984784], [-115.0610763, 36.137145], [-115.2092535, 36.137145]]]), attributes={})"
1419343576413184001,2021-07-25 17:07:33+00:00,"b'In 12 years, Coach K only lost one game as Team USA\xe2\x80\x99s coach.\n\nPopovich is now 9-4 as the HC.\n\nAnd before you say it\xe2\x80\xa6 https://t.co/RxbFSBGTy4'","Staunton, VA","[[[-79.113516, 38.121322], [-79.012337, 38.121322], [-79.012337, 38.190201], [-79.113516, 38.190201]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='d72afa3c3f1d73af', url='https://api.twitter.com/1.1/geo/id/d72afa3c3f1d73af.json', place_type='city', name='Staunton', full_name='Staunton, VA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-79.113516, 38.121322], [-79.012337, 38.121322], [-79.012337, 38.190201], [-79.113516, 38.190201]]]), attributes={})"
